bucket|var|label
Hotel Stayed|HS18|Hotel Stayed [ThR]:Hampton Inn
Hotel Stayed|HS19|Hotel Stayed [ThR]:Hanting
Hotel Stayed|HS20|Hotel Stayed [ThR]:Hawthorn Suites
Hotel Stayed|HS21|Hotel Stayed [ThR]:Hilton
Hotel Stayed|HS22|Hotel Stayed [ThR]:Hilton Garden Inn
Hotel Stayed|HS23|Hotel Stayed [ThR]:Home 2
Hotel Stayed|HS24|Hotel Stayed [ThR]:Homewood Suites
Hotel Stayed|HS25|Hotel Stayed [ThR]:Hotel Indigo
Hotel Stayed|HS26|Hotel Stayed [ThR]:Hyatt
Hotel Stayed|HS27|Hotel Stayed [ThR]:Hyatt Summerfield Suites
Hotel Stayed|HS28|Hotel Stayed [ThR]:Ibis Hotel
Hotel Stayed|HS29|Hotel Stayed [ThR]:JinJiang Hotels
Hotel Stayed|HS30|Hotel Stayed [ThR]:JW Marriott
Hotel Stayed|HS31|Hotel Stayed [ThR]:Kimpton
Hotel Stayed|HS32|Hotel Stayed [ThR]:La Quinta
Hotel Stayed|HS33|Hotel Stayed [ThR]:Le Meridien
Hotel Stayed|HS34|Hotel Stayed [ThR]:Marriott
Hotel Stayed|HS35|Hotel Stayed [ThR]:Mercure
Hotel Stayed|HS36|Hotel Stayed [ThR]:Motel One
Hotel Stayed|HS37|Hotel Stayed [ThR]:Novotel
Hotel Stayed|HS38|Hotel Stayed [ThR]:Park Inn
Hotel Stayed|HS39|Hotel Stayed [ThR]:Premier Inn
Hotel Stayed|HS40|Hotel Stayed [ThR]:Radisson
Hotel Stayed|HS41|Hotel Stayed [ThR]:Residence Inn
Hotel Stayed|HS42|Hotel Stayed [ThR]:Shangri-La
Hotel Stayed|HS43|Hotel Stayed [ThR]:Sheraton
Hotel Stayed|HS44|Hotel Stayed [ThR]:Sofitel
Hotel Stayed|HS45|Hotel Stayed [ThR]:Starway
Hotel Stayed|HS46|Hotel Stayed [ThR]:Towne Place Suites (Marriott)
Hotel Stayed|HS47|Hotel Stayed [ThR]:Travelodge
Hotel Stayed|HS48|Hotel Stayed [ThR]:W Hotel
Hotel Stayed|HS49|Hotel Stayed [ThR]:Westin
Unlikely to Consider|UC01|Unlikely to Consider [ThR]: Candlewood Suites
Unlikely to Consider|UC02|Unlikely to Consider [ThR]: Crowne Plaza
Unlikely to Consider|UC03|Unlikely to Consider [ThR]: Holiday Inn
Unlikely to Consider|UC04|Unlikely to Consider [ThR]: Holiday Inn Express
Unlikely to Consider|UC05|Unlikely to Consider [ThR]: InterContinental
Unlikely to Consider|UC06|Unlikely to Consider [ThR]: Staybridge Suites
Unlikely to Consider|UC07|Unlikely to Consider [ThR]: Aloft
Unlikely to Consider|UC08|Unlikely to Consider [ThR]: Andaz
Unlikely to Consider|UC09|Unlikely to Consider [ThR]: Best Western
Unlikely to Consider|UC10|Unlikely to Consider [ThR]: Comfort Inn
Unlikely to Consider|UC11|Unlikely to Consider [ThR]: Conrad
Unlikely to Consider|UC12|Unlikely to Consider [ThR]: Courtyard by Marriott
Unlikely to Consider|UC13|Unlikely to Consider [ThR]: Etap Hotel
Unlikely to Consider|UC14|Unlikely to Consider [ThR]: Extended Stay America
Unlikely to Consider|UC15|Unlikely to Consider [ThR]: Fairfield Inn
Unlikely to Consider|UC16|Unlikely to Consider [ThR]: Fairmont
Unlikely to Consider|UC17|Unlikely to Consider [ThR]: Four Points by Sheraton
Unlikely to Consider|UC18|Unlikely to Consider [ThR]: Hampton Inn
Unlikely to Consider|UC19|Unlikely to Consider [ThR]: Hanting
Unlikely to Consider|UC20|Unlikely to Consider [ThR]: Hawthorn Suites
Unlikely to Consider|UC21|Unlikely to Consider [ThR]: Hilton
Unlikely to Consider|UC22|Unlikely to Consider [ThR]: Hilton Garden Inn
Unlikely to Consider|UC23|Unlikely to Consider [ThR]: Home 2
Unlikely to Consider|UC24|Unlikely to Consider [ThR]: Homewood Suites
Unlikely to Consider|UC25|Unlikely to Consider [ThR]: Hotel Indigo
Unlikely to Consider|UC26|Unlikely to Consider [ThR]: Hyatt
Unlikely to Consider|UC27|Unlikely to Consider [ThR]: Hyatt Summerfield Suites
Unlikely to Consider|UC28|Unlikely to Consider [ThR]: Ibis Hotel
Unlikely to Consider|UC29|Unlikely to Consider [ThR]: JinJiang Hotels
Unlikely to Consider|UC30|Unlikely to Consider [ThR]: JW Marriott
Unlikely to Consider|UC31|Unlikely to Consider [ThR]: Kimpton
Unlikely to Consider|UC32|Unlikely to Consider [ThR]: La Quinta
Unlikely to Consider|UC33|Unlikely to Consider [ThR]: Le Meridien
Unlikely to Consider|UC34|Unlikely to Consider [ThR]: Marriott
Unlikely to Consider|UC35|Unlikely to Consider [ThR]: Mercure
Unlikely to Consider|UC36|Unlikely to Consider [ThR]: Motel One
Unlikely to Consider|UC37|Unlikely to Consider [ThR]: Novotel
Unlikely to Consider|UC38|Unlikely to Consider [ThR]: Park Inn
Unlikely to Consider|UC39|Unlikely to Consider [ThR]: Premier Inn
Unlikely to Consider|UC40|Unlikely to Consider [ThR]: Radisson
Unlikely to Consider|UC41|Unlikely to Consider [ThR]: Residence Inn
Unlikely to Consider|UC42|Unlikely to Consider [ThR]: Shangri-La
Unlikely to Consider|UC43|Unlikely to Consider [ThR]: Sheraton
Unlikely to Consider|UC44|Unlikely to Consider [ThR]: Sofitel
Unlikely to Consider|UC45|Unlikely to Consider [ThR]: Starway
Unlikely to Consider|UC46|Unlikely to Consider [ThR]: Towne Place Suites (Marriott)
Unlikely to Consider|UC47|Unlikely to Consider [ThR]: Travelodge
Unlikely to Consider|UC48|Unlikely to Consider [ThR]: W Hotel
Unlikely to Consider|UC49|Unlikely to Consider [ThR]: Westin
Likely to Consider|LC01|Likely to Consider [ThR]: Candlewood Suites
Likely to Consider|LC02|Likely to Consider [ThR]: Crowne Plaza
Likely to Consider|LC03|Likely to Consider [ThR]: Holiday Inn
Likely to Consider|LC04|Likely to Consider [ThR]: Holiday Inn Express
Likely to Consider|LC05|Likely to Consider [ThR]: InterContinental
Likely to Consider|LC06|Likely to Consider [ThR]: Staybridge Suites
Likely to Consider|LC07|Likely to Consider [ThR]: Aloft
Likely to Consider|LC08|Likely to Consider [ThR]: Andaz
Likely to Consider|LC09|Likely to Consider [ThR]: Best Western
Likely to Consider|LC10|Likely to Consider [ThR]: Comfort Inn
Likely to Consider|LC11|Likely to Consider [ThR]: Conrad
Likely to Consider|LC12|Likely to Consider [ThR]: Courtyard by Marriott
Likely to Consider|LC13|Likely to Consider [ThR]: Etap Hotel
Likely to Consider|LC14|Likely to Consider [ThR]: Extended Stay America
Likely to Consider|LC15|Likely to Consider [ThR]: Fairfield Inn
Likely to Consider|LC16|Likely to Consider [ThR]: Fairmont
Likely to Consider|LC17|Likely to Consider [ThR]: Four Points by Sheraton
Likely to Consider|LC18|Likely to Consider [ThR]: Hampton Inn
Likely to Consider|LC19|Likely to Consider [ThR]: Hanting
Likely to Consider|LC20|Likely to Consider [ThR]: Hawthorn Suites
Likely to Consider|LC21|Likely to Consider [ThR]: Hilton
Likely to Consider|LC22|Likely to Consider [ThR]: Hilton Garden Inn
Likely to Consider|LC23|Likely to Consider [ThR]: Home 2
Likely to Consider|LC24|Likely to Consider [ThR]: Homewood Suites
Likely to Consider|LC25|Likely to Consider [ThR]: Hotel Indigo
Likely to Consider|LC26|Likely to Consider [ThR]: Hyatt
Likely to Consider|LC27|Likely to Consider [ThR]: Hyatt Summerfield Suites
Likely to Consider|LC28|Likely to Consider [ThR]: Ibis Hotel
Likely to Consider|LC29|Likely to Consider [ThR]: JinJiang Hotels
Likely to Consider|LC30|Likely to Consider [ThR]: JW Marriott
Likely to Consider|LC31|Likely to Consider [ThR]: Kimpton
Likely to Consider|LC32|Likely to Consider [ThR]: La Quinta
Likely to Consider|LC33|Likely to Consider [ThR]: Le Meridien
Likely to Consider|LC34|Likely to Consider [ThR]: Marriott
Likely to Consider|LC35|Likely to Consider [ThR]: Mercure
Likely to Consider|LC36|Likely to Consider [ThR]: Motel One
Likely to Consider|LC37|Likely to Consider [ThR]: Novotel
Likely to Consider|LC38|Likely to Consider [ThR]: Park Inn
Likely to Consider|LC39|Likely to Consider [ThR]: Premier Inn
Likely to Consider|LC40|Likely to Consider [ThR]: Radisson
Likely to Consider|LC41|Likely to Consider [ThR]: Residence Inn
Likely to Consider|LC42|Likely to Consider [ThR]: Shangri-La
Likely to Consider|LC43|Likely to Consider [ThR]: Sheraton
Likely to Consider|LC44|Likely to Consider [ThR]: Sofitel
Likely to Consider|LC45|Likely to Consider [ThR]: Starway
Likely to Consider|LC46|Likely to Consider [ThR]: Towne Place Suites (Marriott)
Likely to Consider|LC47|Likely to Consider [ThR]: Travelodge
Likely to Consider|LC48|Likely to Consider [ThR]: W Hotel
Likely to Consider|LC49|Likely to Consider [ThR]: Westin
Brand Target Classification|BTS01|Extended Stayer
Brand Target Classification|BTS02|Boutique Stayer
Brand Target Classification|BTS03|Intercontinental Core Target
Brand Target Classification|BTS04|Contemporary Traveler
Brand Target Classification|BTS05|Smart Traveler
Brand Target Classification|BTS06|Striver
Brand Target Classification|BTS07|HMT
Brand Target Classification|BTS08|Bamboo
